MQ-2,MQ-3,MQ-136,MQ-137
172.0,286.0,82.0,150.0
172.0,285.0,82.0,150.0
172.0,285.0,82.0,150.0
172.0,285.0,82.0,150.0
172.0,285.0,82.0,150.0
172.0,285.0,82.0,150.0
172.0,284.0,82.0,150.0
172.0,285.0,82.0,150.0
172.0,285.0,82.0,150.0
171.0,284.0,82.0,150.0
171.0,284.0,82.0,150.0
171.0,284.0,82.0,150.0
171.0,283.0,82.0,150.0
171.0,283.0,82.0,150.0
171.0,282.0,82.0,150.0
171.0,282.0,82.0,150.0
170.0,282.0,82.0,150.0
170.0,282.0,82.0,150.0
170.0,282.0,82.0,150.0
170.0,281.0,82.0,150.0
170.0,281.0,82.0,150.0
170.0,281.0,82.0,150.0
170.0,281.0,82.0,149.0
170.0,281.0,81.0,149.0
170.0,280.0,81.0,149.0
170.0,280.0,81.0,149.0
169.0,280.0,81.0,149.0
234.0,408.0,99.0,200.0
233.0,408.0,99.0,200.0
233.0,408.0,99.0,201.0
233.0,408.0,99.0,201.0
233.0,408.0,99.0,201.0
233.0,408.0,99.0,201.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,200.0
233.0,407.0,100.0,201.0
233.0,407.0,100.0,201.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,200.0
233.0,407.0,100.0,200.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,201.0
233.0,406.0,100.0,201.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,201.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,200.0
233.0,406.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,405.0,100.0,200.0
233.0,404.0,100.0,200.0
233.0,404.0,100.0,200.0
233.0,404.0,99.0,200.0
233.0,404.0,100.0,200.0
233.0,404.0,100.0,200.0
233.0,404.0,100.0,200.0
233.0,404.0,99.0,200.0
233.0,404.0,100.0,200.0
233.0,404.0,100.0,199.0
233.0,404.0,99.0,200.0
233.0,404.0,99.0,199.0
233.0,403.0,99.0,199.0
